actor_name,actor_id,movie_id,relevance
Tim Robbins,0000209,tt0111161,1
Morgan Freeman,0000151,tt0111161,2
Bob Gunton,0348409,tt0111161,3
William Sadler,0006669,tt0111161,4
Clancy Brown,0000317,tt0111161,5
Gil Bellows,0004743,tt0111161,6
Mark Rolston,0001679,tt0111161,7
James Whitmore,0926235,tt0111161,8
Jeffrey DeMunn,0218810,tt0111161,9
Larry Brandenburg,0104594,tt0111161,10
Marlon Brando,0000008,tt0068646,1
Al Pacino,0000199,tt0068646,2
James Caan,0001001,tt0068646,3
Richard S. Castellano,0144710,tt0068646,4
Robert Duvall,0000380,tt0068646,5
Sterling Hayden,0001330,tt0068646,6
John Marley,0549134,tt0068646,7
Richard Conte,0002017,tt0068646,8
Al Lettieri,0504803,tt0068646,9
Diane Keaton,0000473,tt0068646,10
Al Pacino,0000199,tt0071562,1
Robert Duvall,0000380,tt0071562,2
Diane Keaton,0000473,tt0071562,3
Robert De Niro,0000134,tt0071562,4
John Cazale,0001030,tt0071562,5
Talia Shire,0001735,tt0071562,6
Lee Strasberg,0833448,tt0071562,7
Michael V. Gazzo,0311155,tt0071562,8
G.D. Spradlin,0819525,tt0071562,9
Richard Bright,0109175,tt0071562,10
Christian Bale,0000288,tt0468569,1
Heath Ledger,0005132,tt0468569,2
Aaron Eckhart,0001173,tt0468569,3
Michael Caine,0000323,tt0468569,4
Maggie Gyllenhaal,0350454,tt0468569,5
Gary Oldman,0000198,tt0468569,6
Morgan Freeman,0000151,tt0468569,7
Monique Gabriela Curnen,1010931,tt0468569,8
Ron Dean,0212939,tt0468569,9
Cillian Murphy,0614165,tt0468569,10
Noel Appleby,0032370,tt0167260,1
Ali Astin,0040012,tt0167260,2
Sean Astin,0000276,tt0167260,3
David Aston,0040058,tt0167260,4
John Bach,0045324,tt0167260,5
Sean Bean,0000293,tt0167260,6
Cate Blanchett,0000949,tt0167260,7
Orlando Bloom,0089217,tt0167260,8
Billy Boyd,0101710,tt0167260,9
Sadwyn Brophy,1480092,tt0167260,10
Liam Neeson,0000553,tt0108052,1
Ben Kingsley,0001426,tt0108052,2
Ralph Fiennes,0000146,tt0108052,3
Caroline Goodall,0328751,tt0108052,4
Jonathan Sagall,0755974,tt0108052,5
Embeth Davidtz,0001110,tt0108052,6
Malgorzata Gebel,0311343,tt0108052,7
Shmuel Levy,0506616,tt0108052,8
Mark Ivanir,0411980,tt0108052,9
Béatrice Macola,0534151,tt0108052,10
Tom Hanks,0000158,tt0109830,1
Rebecca Williams,0931508,tt0109830,2
Sally Field,0000398,tt0109830,3
Michael Conner Humphreys,0402011,tt0109830,4
Harold G. Herthum,0381041,tt0109830,5
George Kelly,0446404,tt0109830,6
Bob Penny,0672225,tt0109830,7
John Randall,0709615,tt0109830,8
Sam Anderson,0027402,tt0109830,9
Margo Moorer,0602071,tt0109830,10
Alan Howard,0397102,tt0120737,1
Noel Appleby,0032370,tt0120737,2
Sean Astin,0000276,tt0120737,3
Sala Baker,1019674,tt0120737,4
Sean Bean,0000293,tt0120737,5
Cate Blanchett,0000949,tt0120737,6
Orlando Bloom,0089217,tt0120737,7
Billy Boyd,0101710,tt0120737,8
Marton Csokas,0190744,tt0120737,9
Megan Edwards,1104283,tt0120737,10
Leonardo DiCaprio,0000138,tt1375666,1
Joseph Gordon-Levitt,0330687,tt1375666,2
Elliot Page,0680983,tt1375666,3
Tom Hardy,0362766,tt1375666,4
Ken Watanabe,0913822,tt1375666,5
Dileep Rao,2438307,tt1375666,6
Cillian Murphy,0614165,tt1375666,7
Tom Berenger,0000297,tt1375666,8
Marion Cotillard,0182839,tt1375666,9
Pete Postlethwaite,0000592,tt1375666,10
Edward Norton,0001570,tt0137523,1
Brad Pitt,0000093,tt0137523,2
Meat Loaf,0001533,tt0137523,3
Zach Grenier,0340260,tt0137523,4
Richmond Arquette,0037118,tt0137523,5
David Andrews,0028625,tt0137523,6
George Maguire,0536574,tt0137523,7
Eugenie Bondurant,0094163,tt0137523,8
Helena Bonham Carter,0000307,tt0137523,9
Christina Cabot,0127680,tt0137523,10
Robert De Niro,0000134,tt0099685,1
Ray Liotta,0000501,tt0099685,2
Joe Pesci,0000582,tt0099685,3
Lorraine Bracco,0000966,tt0099685,4
