Const,Title,Release Date,Genres,IMDb Rating
tt0111161,The Shawshank Redemption,1994,Drama,9.3
tt0068646,The Godfather,1972,"Crime,Drama",9.2
tt0071562,The Godfather: Part II,1974,"Crime,Drama",9.0
tt0468569,The Dark Knight,2008,"Action,Crime,Drama",9.0
tt0110912,Pulp Fiction,1994,"Crime,Drama",8.9
tt0167260,The Lord of the Rings: The Return of the King,2003,"Action,Adventure,Drama",8.9
tt0108052,Schindler's List,1993,"Biography,Drama,History",8.9
tt0109830,Forrest Gump,1994,"Drama,Romance",8.8
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,"Action,Adventure,Drama",8.8
tt1375666,Inception,2010,"Action,Adventure,Sci-Fi",8.8
tt0137523,Fight Club,1999,Drama,8.8
tt0133093,The Matrix,1999,"Action,Sci-Fi",8.7
tt0099685,Goodfellas,1990,"Biography,Crime,Drama",8.7
tt0167261,The Lord of the Rings: The Two Towers,2002,"Action,Adventure,Drama",8.7
tt10295212,Shershaah,2021,"Action,Biography,Drama",8.7
tt5813916,The Mountain II,2016,"Action,Drama,War",8.7
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,"Action,Adventure,Fantasy",8.7
tt0073486,One Flew Over the Cuckoo's Nest,1975,Drama,8.7
tt0317248,City of God,2002,"Crime,Drama",8.6
tt0245429,Spirited Away,2001,"Adventure,Animation,Family",8.6
tt6751668,Parasite,2019,"Comedy,Drama,Thriller",8.6
tt0076759,Star Wars: Episode IV - A New Hope,1977,"Action,Adventure,Fantasy",8.6
tt0120815,Saving Private Ryan,1998,"Drama,War",8.6
tt0120689,The Green Mile,1999,"Crime,Drama,Fantasy",8.6
tt0114369,Se7en,1995,"Crime,Drama,Mystery",8.6
tt0118799,Life Is Beautiful,1997,"Comedy,Drama,Romance",8.6
tt0816692,Interstellar,2014,"Adventure,Drama,Sci-Fi",8.6
tt0102926,The Silence of the Lambs,1991,"Crime,Drama,Horror",8.6
tt0095327,Grave of the Fireflies,1988,"Animation,Drama,War",8.5
tt0114814,The Usual Suspects,1995,"Crime,Drama,Mystery",8.5
tt0110413,Léon: The Professional,1994,"Action,Crime,Drama",8.5
tt0482571,The Prestige,2006,"Drama,Mystery,Sci-Fi",8.5
tt0095765,Cinema Paradiso,1988,"Drama,Romance",8.5
tt0110357,The Lion King,1994,"Adventure,Animation,Drama",8.5
tt2582802,Whiplash,2014,"Drama,Music",8.5
tt0172495,Gladiator,2000,"Action,Adventure,Drama",8.5
tt0103064,Terminator 2: Judgment Day,1991,"Action,Sci-Fi",8.5
tt0253474,The Pianist,2002,"Biography,Drama,Music",8.5
tt0407887,The Departed,2006,"Crime,Drama,Thriller",8.5
tt0120586,American History X,1998,Drama,8.5
tt0088763,Back to the Future,1985,"Adventure,Comedy,Sci-Fi",8.5
tt1675434,The Intouchables,2011,"Biography,Comedy,Drama",8.5
tt5311514,Your Name.,2016,"Animation,Drama,Fantasy",8.4
tt0081505,The Shining,1980,"Drama,Horror",8.4
tt0082971,Indiana Jones and the Raiders of the Lost Ark,1981,"Action,Adventure",8.4
tt5074352,Dangal,2016,"Action,Biography,Drama",8.4
tt4154756,Avengers: Infinity War,2018,"Action,Adventure,Sci-Fi",8.4
tt0364569,Oldboy,2003,"Action,Drama,Mystery",8.4
tt4154796,Avengers: Endgame,2019,"Action,Adventure,Drama",8.4
tt2380307,Coco,2017,"Adventure,Animation,Comedy",8.4
tt4633694,Spider-Man: Into the Spider-Verse,2018,"Action,Adventure,Animation",8.4
tt1853728,Django Unchained,2012,"Drama,Western",8.4
tt1345836,The Dark Knight Rises,2012,"Action,Crime",8.4
tt0078788,Apocalypse Now,1979,"Drama,Mystery,War",8.4
tt0078748,Alien,1979,"Horror,Sci-Fi",8.4
tt0405094,The Lives of Others,2006,"Drama,Mystery,Thriller",8.4
tt0986264,Like Stars on Earth,2007,"Drama,Family",8.4
tt1187043,3 Idiots,2009,"Comedy,Drama",8.4
tt0910970,WALL·E,2008,"Adventure,Animation,Family",8.4
