actor_name,actor_id,movie_id,appearances,rating
Lyn Edgington,0249313,tt0066999,1,7.7
Mae Mercer,0580284,tt0066999,1,7.7
Ruth Kobart,0461974,tt0066999,1,7.7
Andrew Robinson,0732367,tt0066999,1,7.7
John Vernon,0006893,tt0066999,1,7.7
John Larch,0488024,tt0066999,1,7.7
Reni Santoni,0763858,tt0066999,1,7.7
John Mitchum,0593850,tt0066999,1,7.7
Clint Eastwood,0000142,tt0066999,5,7.7
Harry Guardino,0345340,tt0066999,1,7.7
Bill Hickman,0382707,tt0067116,1,7.7
Roy Scheider,0001702,tt0067116,2,7.7
Arlene Farber,0112029,tt0067116,1,7.7
Fernando Rey,0721073,tt0067116,1,7.7
Tony Lo Bianco,0516215,tt0067116,1,7.7
Harold Gary,0308872,tt0067116,1,7.7
Gene Hackman,0000432,tt0067116,3,7.7
Marcel Bozzuffi,0102566,tt0067116,1,7.7
Ann Rebbot,0714232,tt0067116,1,7.7
Frédéric de Pasquale,0664687,tt0067116,1,7.7
Jack Albertson,0016776,tt0067992,1,7.8
Roy Kinnear,0455702,tt0067992,1,7.8
Leonard Stone,0832007,tt0067992,1,7.8
Gene Wilder,0000698,tt0067992,2,7.8
Denise Nickerson,0630019,tt0067992,1,7.8
Nora Denney,0219372,tt0067992,1,7.8
Paris Themmen,0002398,tt0067992,1,7.8
Ursula Reit,0718557,tt0067992,1,7.8
Peter Ostrum,0652578,tt0067992,1,7.8
Julie Dawn Cole,0170628,tt0067992,1,7.8
Jon Voight,0000685,tt0068473,4,7.7
Ned Beatty,0000885,tt0068473,4,7.7
Burt Reynolds,0000608,tt0068473,1,7.7
Billy Redden,0714681,tt0068473,1,7.7
Ed Ramey,0708200,tt0068473,1,7.7
Herbert 'Cowboy' Coward,0184662,tt0068473,1,7.7
Randall Deal,0212655,tt0068473,1,7.7
Bill McKinney,0571853,tt0068473,2,7.7
Seamon Glass,0322005,tt0068473,1,7.7
Ronny Cox,0001074,tt0068473,3,7.7
Diane Keaton,0000473,tt0068646,6,9.2
Al Lettieri,0504803,tt0068646,1,9.2
Richard Conte,0002017,tt0068646,1,9.2
John Marley,0549134,tt0068646,1,9.2
Sterling Hayden,0001330,tt0068646,1,9.2
Al Pacino,0000199,tt0068646,10,9.2
Richard S. Castellano,0144710,tt0068646,1,9.2
Marlon Brando,0000008,tt0068646,3,9.2
James Caan,0001001,tt0068646,3,9.2
Robert Duvall,0000380,tt0068646,4,9.2
Bolo Yeung,0001866,tt0070034,1,7.7
Bruce Lee,0000045,tt0070034,1,7.7
Robert Wall,0908378,tt0070034,1,7.7
Kien Shih,0793384,tt0070034,1,7.7
Ahna Capri,0135622,tt0070034,1,7.7
